name,type,type_order
core/app_router/app_router_widget.dart,,99999
core/app_router/modular_app_router.dart,,99999
core/app_router/app_router.dart,,99999
app/app_start.dart,,99999
app/localizations/app_localizations.dart,,99999
app/localizations/plural_factor.dart,,99999
app/localizations/delegate/app_localization_delegate.dart,,99999
app/localizations/extensions/app_localizations_extensions.dart,,99999
app/localizations/core_module_localization.dart,,99999
app/localizations/base_module_localization.dart,,99999
app/design_system/jake_theme_builder.dart,,99999
app/app_widget.dart,,99999
app/router/domain/central_notification_routes_helpers.dart,,99999
app/router/domain/usecases/get_new_routes.dart,,99999
app/router/domain/usecases/get_route_by_uri.dart,,99999
app/router/domain/usecases/get_initial_route.dart,,99999
app/router/presentation/widgets/router_widget.dart,,99999
app/router/presentation/widgets/set_new_route_bloc_listener.dart,,99999
app/router/presentation/bloc/router_event.dart,,99999
app/router/presentation/bloc/router_state.dart,,99999
app/router/presentation/bloc/router_bloc.dart,,99999
app/router/presentation/bloc/router_widget_status.dart,,99999
shared/repositories/hub_repository_impl.dart,,99999
shared/repositories/user.dart,,99999
shared/data_sources,frameworkOrDriver,3
shared/repositories,interfaceAdapter,2
shared/entities,entity,0
shared/use_cases,useCase,1
shared/presentation,frameworkOrDriver,3
feature_core/app_network,frameworkOrDriver,3
feature_core/app_remote_config,frameworkOrDriver,3
feature_core/app_analytics,frameworkOrDriver,3
feature_core/app_deep_links,frameworkOrDriver,3
feature_core/app_storage,frameworkOrDriver,3
feature_core/app_permission_handler,frameworkOrDriver,3
feature_core/app_local_file_storage,frameworkOrDriver,3
feature_core/app_info,frameworkOrDriver,3
feature_core/app_network_file_storage,frameworkOrDriver,3
feature_core/app_location,frameworkOrDriver,3
feature_core/app_local_notifications,frameworkOrDriver,3
feature_core/app_logging,frameworkOrDriver,3
feature_core/app_realtime,frameworkOrDriver,3
feature_core/app_push_notification,frameworkOrDriver,3
feature_core/app_location_tracking,frameworkOrDriver,3
feature_core/app_bugs_collector,frameworkOrDriver,3
feature_core/app_support,frameworkOrDriver,3
feature_core/domain,frameworkOrDriver,3
modules/location_tracking/data_sources,frameworkOrDriver,3
modules/location_tracking/repositories,interfaceAdapter,2
modules/location_tracking/use_cases,useCase,1
modules/location_tracking/presentation,frameworkOrDriver,3
modules/home/data_sources,frameworkOrDriver,3
modules/home/repositories,interfaceAdapter,2
modules/home/entities,entity,0
modules/home/use_cases,useCase,1
modules/home/presentation,frameworkOrDriver,3
modules/splash/use_cases,useCase,1
modules/splash/presentation,frameworkOrDriver,3
modules/trip_offer/data_sources,frameworkOrDriver,3
modules/trip_offer/presentation,frameworkOrDriver,3
modules/auth/data_sources,frameworkOrDriver,3
modules/auth/repositories,interfaceAdapter,2
modules/auth/domain/user_modality.dart,,99999
modules/auth/entities,entity,0
modules/auth/use_cases,useCase,1
modules/auth/presentation,frameworkOrDriver,3
modules/auth/guards/verification_guard.dart,,99999
modules/auth/guards/auth_guard.dart,,99999
modules/notification/data_sources,frameworkOrDriver,3
modules/notification/repositories,interfaceAdapter,2
modules/notification/entities,entity,0
modules/notification/use_cases,useCase,1
modules/notification/presentation,frameworkOrDriver,3
modules/location/presentation,frameworkOrDriver,3
modules/journey/use_cases,useCase,1
modules/journey/presentation,frameworkOrDriver,3
modules/trip/data_sources,frameworkOrDriver,3
modules/trip/repositories,interfaceAdapter,2
modules/trip/entities,entity,0
modules/trip/use_cases,useCase,1
modules/trip/presentation,frameworkOrDriver,3
modules/my_trips/data_sources,frameworkOrDriver,3
modules/my_trips/repositories,interfaceAdapter,2
modules/my_trips/entities,entity,0
modules/my_trips/use_cases,useCase,1
modules/my_trips/presentation,frameworkOrDriver,3
modules/permission/use_cases,useCase,1
modules/permission/presentation,frameworkOrDriver,3
